3_0	['C(C(C)=O)(O)=O', 'C(C(C)=O)(O)=O']	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	Aldol Condensation	-12.87
8_0	['C(C(C)=O)(O)=O']	['C(C)=O', 'C(=O)=O']	Alpha-Keto Acid Decarboxylation	-58.14
10_0	['C(C)=O', 'C(C)=O']	['C(CC(C)O)=O']	Aldol Condensation	-6.29
14_0	['C(C(C)=O)(O)=O', 'C(C)=O']	['C(C(CC(C)O)=O)(O)=O']	Aldol Condensation	-11.91
16_0	['C(C(C)=O)(O)=O', 'C(C)=O']	['C(C(C)(CC=O)O)(O)=O']	Aldol Condensation	-7.26
25_0	['C(C(CO)O)(O)=O', 'C(C)=O']	['C(C(CO)(C(C)O)O)(O)=O']	Knoevenagel C	-7.87
25_1	['C(C(CO)O)(O)=O', 'C(C)=O']	['C(C(CO)(C(C)O)O)(O)=O']	Knoevenagel H	-7.87
29_0	['C(C(C)=O)(O)=O', 'C(C(CO)O)(O)=O']	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	Knoevenagel C	-8.84
29_1	['C(C(C)=O)(O)=O', 'C(C(CO)O)(O)=O']	['C(C(CO)(C(C(O)=O)(C)O)O)(O)=O']	Knoevenagel H	-8.84
33_0	['C(C(CO)O)(O)=O']	['O', 'C(CC(O)=O)=O']	Elimination + enol to keto	-48.7
34_0	['C(C(CO)O)(O)=O']	['C(C(C)=O)(O)=O', 'O']	Elimination + enol to keto	-39.62
45_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['C(=O)=O', 'C(C(C)(CC=O)O)(O)=O']	Alpha-Keto Acid Decarboxylation	-52.53
47_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['O', 'C(C1(C)CC(C(O1)=O)=O)(O)=O']	Ring Closure 5 membered O, O	-23.62
49_0	['C(C(C)(CC(C(O)=O)=O)O)(O)=O']	['O', 'C1(C(C)(CC(C(O1)=O)=O)O)=O']	Ring Closure 6 membered O, O	-14.03
51_0	['C(C(O)=O)(CC(C(C)=O)=O)=O']	['C(C1(CC(C(C1)=O)=O)O)(O)=O']	Aldol Condensation	-87.69
53_0	['C(CC(C)O)=O', 'C(CC(C)O)=O']	['C(C(C(C)O)C(CC(C)O)O)=O']	Aldol Condensation	-3.62
53_1	['C(CC(C)O)=O', 'C(CC(C)O)=O']	['C(C(C(C)O)C(CC(C)O)O)=O']	Knoevenagel C	-3.62
59_0	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C)O)C(C(CO)=O)O)=O']	Aldol Condensation	-3.62
59_1	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C)O)C(C(CO)=O)O)=O']	Knoevenagel C	-3.62
63_0	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C(CC(C)O)O)O)=O)=O']	Aldol Condensation	-10.35
63_1	['C(CC(C)O)=O', 'C(C(CO)=O)=O']	['C(C(C(C(CC(C)O)O)O)=O)=O']	Knoevenagel H	-10.35
65_0	['C(CC(C)O)=O', 'C=O']	['C(C(CO)C(C)O)=O']	Aldol Condensation	-22.87
65_1	['C(CC(C)O)=O', 'C=O']	['C(C(CO)C(C)O)=O']	Knoevenagel C	-22.87
73_0	['C(CC(O)=O)=O', 'C(C(CO)=O)=O']	['C(CC(C(C(C=O)=O)O)O)(O)=O']	Aldol Condensation	-0.66
73_1	['C(CC(O)=O)=O', 'C(C(CO)=O)=O']	['C(CC(C(C(C=O)=O)O)O)(O)=O']	Knoevenagel H	-0.66
75_0	['C(CC(O)=O)=O', 'C=O']	['C(C(C=O)CO)(O)=O']	Aldol Condensation	-13.19
75_1	['C(CC(O)=O)=O', 'C=O']	['C(C(C=O)CO)(O)=O']	Knoevenagel C	-13.19
77_0	['C(C(CC(C)O)=O)(O)=O', 'C=O']	['C(C(C(CO)C(C)O)=O)(O)=O']	Aldol Condensation	-22.87
77_1	['C(C(CC(C)O)=O)(O)=O', 'C=O']	['C(C(C(CO)C(C)O)=O)(O)=O']	Knoevenagel C	-22.87
79_0	['C(C(C)(CC=O)O)(O)=O', 'C=O']	['C(C(CO)C(C(O)=O)(C)O)=O']	Aldol Condensation	-22.87
79_1	['C(C(C)(CC=O)O)(O)=O', 'C=O']	['C(C(CO)C(C(O)=O)(C)O)=O']	Knoevenagel C	-22.87
