Smiles	tag 
C1[C@H]([C@@H]([C@@H]([C@H]1OCOC)O)O)O[H]	omega_9237
C1[C@H]([C@@H]([C@@H]([C@H]1OCOC)O)O)N([H])[H]	omega_9237
[C@@H]1([C@H]([C@@H](O[C@@H]1CCOC)O[H])O)O	omega_7937
[C@@H]1([C@H]([C@@H](O[C@@H]1CCOC)N([H])[H])O)O	omega_7937
[C@H]1([C@@H]([C@@](C)(CCO)O[C@H]1O[H])O)O	omega_87569
[C@H]1([C@@H]([C@@](C)(CCO)O[C@H]1N([H])[H])O)O	omega_87569
C(=C\CO)/[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_41259
C(=C\CO)/[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_41259
C(=C\[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)/C=O	omega_73306
C(=C\[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)/C=O	omega_73306
C1[C@H]([C@@H]([C@@H]([C@H]1OCCO)O)O)O[H]	omega_80160
C1[C@H]([C@@H]([C@@H]([C@H]1OCCO)O)O)N([H])[H]	omega_80160
C=C(C=O)[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_26175
C=C(C=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_26175
C(=O)CC[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_41291
C(=O)CC[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_41291
[C@@H]1([C@H]([C@@H](O[C@@H]1CCCO)O[H])O)O	omega_59986
[C@@H]1([C@H]([C@@H](O[C@@H]1CCCO)N([H])[H])O)O	omega_59986
[C@@H]1([C@H]([C@@H](O[C@@H]1COCC)O[H])O)O	omega_100861
[C@@H]1([C@H]([C@@H](O[C@@H]1COCC)N([H])[H])O)O	omega_100861
C(=C\[C@@H]1[C@H](C[C@@H](O1)O[H])O)/C(=O)O	omega_97157
C(=C\[C@@H]1[C@H](C[C@@H](O1)N([H])[H])O)/C(=O)O	omega_97157
C(=C\C)/[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_61380
C(=C\C)/[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_61380
C(=C\[C@H]1[C@H]([C@@H]([C@@H](O1)O)O)O[H])/C=O	omega_74323
C(=C\[C@H]1[C@H]([C@@H]([C@@H](O1)O)O)N([H])[H])/C=O	omega_74323
C(=O)C[C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O	omega_28383
C(=O)C[C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O	omega_28383
C(=O)C[C@@]1([C@H]([C@H]([C@@H](O1)O[H])O)O)C	omega_26897
C(=O)C[C@@]1([C@H]([C@H]([C@@H](O1)N([H])[H])O)O)C	omega_26897
C(=O)C(=O)[C@H]1C[C@H]([C@@H]([C@@H]1O)O)O[H]	omega_5826
C(=O)C(=O)[C@H]1C[C@H]([C@@H]([C@@H]1O)O)N([H])[H]	omega_5826
C=C([C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)CO	omega_77440
C=C([C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)CO	omega_77440
C1[C@@H]([C@H]([C@H]([C@@H]1O[H])O)O)COC	omega_48747
C1[C@@H]([C@H]([C@H]([C@@H]1N([H])[H])O)O)COC	omega_48747
C(=C\CO)/[C@H]1[C@H]([C@@H]([C@@H](O1)O)O)O[H]	omega_42456
C(=C\CO)/[C@H]1[C@H]([C@@H]([C@@H](O1)O)O)N([H])[H]	omega_42456
C(=O)([C@@H]1[C@H]([C@H]([C@@H](O1)O[H])O)O)C	omega_19173
C(=O)([C@@H]1[C@H]([C@H]([C@@H](O1)N([H])[H])O)O)C	omega_19173
C1[C@H]([C@H]([C@@H]([C@@H]1O)O)O[H])OCOC	omega_9217
C1[C@H]([C@H]([C@@H]([C@@H]1O)O)N([H])[H])OCOC	omega_9217
[C@@H]1([C@H]([C@@](C)(O[C@@H]1OCC)O[H])O)O	omega_17833
[C@@H]1([C@H]([C@@](C)(O[C@@H]1OCC)N([H])[H])O)O	omega_17833
C(=O)CO[C@H]1C[C@H]([C@@H]([C@@H]1O)O)O[H]	omega_101913
C(=O)CO[C@H]1C[C@H]([C@@H]([C@@H]1O)O)N([H])[H]	omega_101913
C(=C\[C@@H]1C[C@H]([C@@H](O1)O[H])O)/C(=O)O	omega_87761
C(=C\[C@@H]1C[C@H]([C@@H](O1)N([H])[H])O)/C(=O)O	omega_87761
[C@@H]1([C@H]([C@@H](O[C@@H]1[C@H](C)CO)O[H])O)O	omega_22330
